2,0,1,1,0,0
2,0,0,1,0,0
3,0,1,1,0,0
3,0,0,2,1,0
4,0,1,2,0,0
4,0,0,3,1,0
5,0,1,3,0,0
7,0,2,3,0,0
9,0,2,3,0,0
11,0,2,3,0,0
16,0,5,3,0,0
17,4,5,3,0,0
21,3,7,4,1,0
30,3,12,7,3,0
34,4,8,7,0,0
41,2,9,8,1,0
45,3,7,8,0,0
49,7,11,9,1,0
54,8,13,9,0,0
56,6,8,10,1,0
63,9,16,10,0,0
66,14,17,11,1,0
66,12,12,11,0,0
77,9,20,12,2,1
91,17,31,12,1,1
100,19,28,12,2,2
109,14,23,13,1,0
111,32,34,14,3,2
124,21,34,15,1,0
132,23,31,18,4,1
141,25,34,20,3,1
154,26,39,20,0,0
162,23,31,21,1,0
170,35,43,22,1,0
182,37,49,23,2,1
193,36,47,24,4,3
204,36,47,25,2,1
213,46,55,29,5,1
228,40,55,32,5,2
238,53,63,35,3,0
250,52,64,36,3,2
263,69,82,39,4,1
271,70,78,40,7,6
287,68,84,43,7,4
302,66,81,43,1,1
320,66,84,44,8,7
335,77,92,46,6,4
347,86,98,49,6,3
362,85,100,53,8,4
380,97,115,56,7,4
399,99,118,58,4,2
413,105,119,59,7,6
440,95,122,60,5,4
459,101,120,61,11,10
476,108,125,67,14,8
506,128,158,70,6,3
525,115,134,76,11,5
545,124,144,80,13,9
556,126,137,88,18,10
577,136,157,93,12,7
591,157,171,94,14,13
614,144,167,96,12,10
646,156,188,100,9,5
673,161,188,101,12,11
701,166,194,108,17,10
728,165,192,111,14,11
745,187,204,116,18,13
762,204,221,119,11,8
784,182,204,121,17,15
806,197,219,124,16,13
847,216,257,130,15,9
870,230,253,134,17,13
896,252,278,141,23,16
915,240,259,145,19,15
930,263,278,150,26,21
950,253,273,154,16,12
969,264,283,158,22,18
999,273,303,165,28,21
1023,289,313,169,17,13
1054,269,300,172,18,15
1089,265,300,175,21,18
1114,294,319,182,29,22
1149,294,329,187,33,28
1169,306,326,197,32,22
1207,313,351,198,23,22
1234,332,359,201,25,22
1267,352,385,209,29,21
1286,366,385,217,36,28
1313,339,366,225,31,23
1344,341,372,232,31,24
1380,368,404,238,38,32
1413,396,429,246,35,27
1443,403,433,251,35,30
1490,365,412,257,29,23
1517,431,458,262,35,30
1550,441,474,263,36,35
1590,420,460,268,37,32
1618,488,516,278,47,37
1657,461,500,284,44,38
1695,478,516,288,38,34
1728,472,505,297,43,34
1755,494,521,306,42,33
1784,529,558,309,48,45
1818,522,556,315,50,44
1855,497,534,318,50,47
1905,544,594,328,44,34
1953,554,602,338,56,46
1996,529,572,349,57,46
2041,565,610,355,50,44
2080,616,655,364,49,40
2110,630,660,371,57,50
2145,636,671,372,51,50
2183,629,667,379,54,47
2208,649,674,391,54,42
2249,661,702,398,61,54
2295,697,743,409,62,51
2333,699,737,416,60,53
2365,725,757,422,61,55
2397,715,747,431,77,68
2432,741,776,441,65,55
2474,745,787,451,77,67
2508,734,768,456,63,58
2547,784,823,465,72,63
2594,756,803,470,66,61
2639,754,799,477,72,65
2667,818,846,489,78,66
2703,820,856,496,79,72
2745,858,900,502,64,58
2779,859,893,516,73,59
2814,863,898,520,85,81
2852,882,920,528,85,77
2907,877,932,531,75,72
2933,885,911,532,83,82
2980,933,980,541,85,76
3043,927,990,554,87,74
3091,916,964,559,83,78
3131,1006,1046,565,95,89
3182,946,997,580,95,80
3223,988,1029,600,99,79
3268,1001,1046,612,111,99
3325,999,1056,625,96,83
3381,1042,1098,628,91,88
3411,1082,1112,633,94,89
3439,1065,1093,636,110,107
3479,1111,1151,649,95,82
3516,1122,1159,661,114,102
3566,1127,1177,678,108,91
3613,1147,1194,686,114,106
3653,1197,1237,695,117,108
3707,1162,1216,702,113,106
3756,1201,1250,708,120,114
3796,1205,1245,714,117,111
3840,1221,1265,721,121,114
3872,1232,1264,728,135,128
3915,1250,1293,737,119,110
3960,1283,1328,746,130,121
4004,1314,1358,748,122,120
4041,1290,1327,753,135,130
4068,1343,1370,759,118,112
4096,1357,1385,759,140,140
4123,1343,1370,760,130,129
4148,1375,1400,759,118,119
4173,1363,1388,761,118,116
4205,1438,1470,760,122,123
4236,1388,1419,769,133,124
4246,1453,1463,774,122,117
4271,1401,1426,780,143,137
4287,1439,1455,783,142,139
4286,1422,1421,788,142,137
4284,1532,1530,787,122,123
4299,1514,1529,787,128,128
4308,1502,1511,792,143,138
4329,1502,1523,797,132,127
4338,1499,1508,802,161,156
4340,1498,1500,805,143,140
4346,1523,1529,813,138,130
4343,1517,1514,810,155,158
4355,1585,1597,813,142,139
4366,1510,1521,813,142,142
4380,1535,1549,816,149,146
4382,1608,1610,815,163,164
4388,1551,1557,817,155,153
4397,1573,1582,818,146,145
4403,1541,1547,816,143,145
4407,1564,1568,818,148,146
4416,1542,1551,823,155,150
4418,1507,1509,826,160,157
4420,1532,1534,826,144,144
4427,1544,1551,827,152,151
4435,1513,1521,829,142,140
4441,1574,1580,830,151,150
4444,1614,1617,829,165,166
4449,1613,1618,834,154,149
4454,1615,1620,835,160,159
4458,1622,1626,834,149,150
4463,1615,1620,837,164,161
4466,1635,1638,838,157,156
4470,1577,1581,837,170,171
4468,1618,1616,840,146,143
4474,1631,1637,840,156,156
4473,1619,1618,839,152,153
4472,1585,1584,840,172,171
4473,1608,1609,841,172,171
4469,1593,1589,839,156,158
4461,1646,1638,838,154,155
4461,1659,1659,836,158,160
4462,1597,1598,835,163,164
4460,1619,1617,833,155,157
4461,1583,1584,832,160,161
4466,1581,1586,832,162,162
4461,1652,1647,831,164,165
4453,1599,1591,831,144,144
4446,1630,1623,829,144,146
4443,1638,1635,829,150,150
4441,1637,1635,829,147,147
4441,1620,1620,828,150,151
4439,1599,1597,827,150,151
4442,1611,1614,826,158,159
4443,1635,1636,826,163,163
4446,1625,1628,827,152,151
4448,1602,1604,826,167,168
4445,1638,1635,826,143,143
4447,1569,1571,824,161,163
4443,1661,1657,824,157,157
4433,1684,1674,824,171,171
4434,1660,1661,824,146,146
4431,1653,1650,823,163,164
4437,1645,1651,823,148,148
4431,1666,1660,823,157,157
4422,1606,1597,820,158,161
4420,1642,1640,820,150,150
4421,1681,1682,821,180,179
4415,1683,1677,822,161,160
4412,1640,1637,822,172,172
4405,1653,1646,821,155,156
4411,1609,1615,820,174,175
4415,1627,1631,819,151,152
4418,1662,1665,818,175,176
4412,1673,1667,818,163,163
4415,1644,1647,816,165,167
4415,1618,1618,816,159,159
4412,1618,1615,815,148,149
4404,1624,1616,816,171,170
4402,1659,1657,815,166,167
4400,1663,1661,813,131,133
4397,1641,1638,813,162,162
4399,1677,1679,813,159,159
4395,1650,1646,812,159,160
4396,1695,1696,813,174,173
4391,1678,1673,813,153,153
4390,1721,1720,813,157,157
4393,1684,1687,812,177,178
4390,1672,1669,811,161,162
4384,1681,1675,810,156,157
4372,1665,1653,810,177,177
4370,1710,1708,810,146,146
4374,1651,1655,810,162,162
4379,1676,1681,810,172,172
4379,1663,1663,809,150,151
4379,1697,1697,807,170,172
4378,1613,1612,807,166,166
4380,1690,1692,806,158,159
4379,1653,1652,806,157,157
4380,1661,1662,806,176,176
4384,1662,1666,806,146,146
4384,1668,1668,805,168,169
4383,1656,1655,805,179,179
4376,1653,1646,806,165,164
4380,1650,1654,806,158,158
4380,1689,1689,805,167,168
4383,1658,1661,804,161,162
4381,1671,1669,804,169,169
4378,1654,1651,806,156,154
4375,1653,1650,805,162,163
4376,1638,1639,804,166,167
4375,1691,1690,804,158,158
4378,1625,1628,805,162,161
4376,1677,1675,805,168,168
4374,1651,1649,804,174,175
4367,1657,1650,803,160,161
4364,1696,1693,804,155,154
4365,1683,1684,804,169,169
4363,1684,1682,802,155,157
4362,1663,1662,803,161,160
4361,1617,1616,803,162,162
4361,1629,1629,803,166,166
4359,1732,1730,806,172,169
4361,1692,1694,805,152,153
4362,1651,1652,801,165,169
4363,1673,1674,802,162,161
4355,1724,1716,802,139,139
4357,1678,1680,802,162,162
4353,1617,1613,802,154,154
4354,1719,1720,802,148,148
4356,1696,1698,802,167,167
4353,1684,1681,801,172,173
4354,1670,1671,801,158,158
4354,1689,1689,804,161,158
4350,1640,1636,804,152,152
4347,1681,1678,806,157,155
4346,1684,1683,811,155,150
4342,1656,1652,811,156,156
4343,1654,1655,810,168,169
4339,1716,1712,809,155,156
4338,1661,1660,807,148,150
4340,1673,1675,805,171,173
4340,1641,1641,805,174,174
4340,1640,1640,805,168,168
4338,1691,1689,806,156,155
4337,1682,1681,807,157,156
4333,1723,1719,808,153,152
4334,1705,1706,807,159,160
4335,1682,1683,806,158,159
4335,1726,1726,806,162,162
4335,1736,1736,805,147,148
4334,1626,1625,806,164,163
4332,1681,1679,806,154,154
4334,1690,1692,807,172,171
4335,1687,1688,807,145,145
4338,1711,1714,807,147,147
4337,1637,1636,807,163,163
4338,1675,1676,806,165,166
4336,1667,1665,806,156,156
4339,1668,1671,807,176,175
4339,1648,1648,807,164,164
4338,1649,1648,809,167,165
4336,1662,1660,811,144,142
4333,1675,1672,811,146,146
4335,1714,1716,809,150,152
4336,1652,1653,808,160,161
4337,1680,1681,808,153,153
4334,1636,1633,808,152,152
4336,1735,1737,807,158,159
4337,1717,1718,807,153,153
4337,1653,1653,806,163,164
4337,1645,1645,806,143,143
4335,1744,1742,806,162,162
4335,1727,1727,805,179,180
4332,1647,1644,803,154,156
4327,1727,1722,803,153,153
4328,1658,1659,803,165,165
4325,1713,1710,803,176,176
4324,1680,1679,803,158,158
4321,1690,1687,802,141,142
4323,1688,1690,801,165,166
4322,1674,1673,800,181,182
4322,1681,1681,800,156,156
4321,1719,1718,801,168,167
4320,1697,1696,801,160,160
4320,1713,1713,800,161,162
4314,1702,1696,800,173,173
4313,1669,1668,803,165,162
4312,1711,1710,804,162,161
4312,1708,1708,804,156,156
4313,1703,1704,801,147,150
4314,1700,1701,800,147,148
4315,1672,1673,800,148,148
4319,1744,1748,800,171,171
4319,1699,1699,799,139,140
4320,1701,1702,799,140,140
4320,1701,1701,800,166,165
4318,1733,1731,800,143,143
4319,1691,1692,800,147,147
4319,1667,1667,798,144,146
4317,1686,1684,799,159,158
4318,1684,1685,800,178,177
4319,1691,1692,798,161,163
4318,1696,1695,797,168,169
4319,1695,1696,796,154,155
4319,1694,1694,798,144,142
4318,1678,1677,799,150,149
4319,1644,1645,798,163,164
4320,1719,1720,797,161,162
4321,1679,1680,797,159,159
4322,1724,1725,795,150,152
4321,1715,1714,796,141,140
4321,1680,1680,797,166,165
4320,1695,1694,799,163,161
4321,1694,1695,798,166,167
4319,1699,1697,799,166,165
4318,1728,1727,798,155,156
4319,1704,1705,795,160,163
4319,1682,1682,794,165,166
4319,1686,1686,795,161,160
4319,1651,1651,794,156,157
4319,1721,1721,795,160,159
4320,1702,1703,795,160,160
4319,1682,1681,794,149,150
4319,1698,1698,790,165,169
4318,1715,1714,792,170,168
4317,1685,1684,791,151,152
4319,1671,1673,791,164,164
4320,1660,1661,791,146,146
4319,1697,1696,792,153,152
4318,1689,1688,790,167,169
4319,1671,1672,791,164,163
4318,1709,1708,792,166,165
4318,1729,1729,793,167,166
4317,1667,1666,791,161,163
4317,1699,1699,791,156,156
4317,1681,1681,793,148,146
4317,1710,1710,794,166,165
4318,1722,1723,793,166,167
4319,1738,1739,793,163,163
4318,1693,1692,793,172,172
4317,1726,1725,793,161,161
4318,1702,1703,794,154,153
4316,1717,1715,795,161,160
4317,1692,1693,796,143,142
4319,1666,1668,796,163,163
4319,1650,1650,797,171,170
4318,1709,1708,794,159,162
4317,1704,1703,793,145,146
4317,1702,1702,794,155,154
4315,1726,1724,796,163,161
4313,1695,1693,796,167,167
4312,1702,1701,796,170,170
4309,1754,1751,793,155,158
4308,1678,1677,793,162,162
4305,1724,1721,793,163,163
4306,1660,1661,791,168,170
4305,1726,1725,790,156,157
4305,1717,1717,789,166,167
4305,1688,1688,789,162,162
4306,1686,1687,789,153,153
4304,1660,1658,789,158,158
4300,1724,1720,788,153,154
4300,1706,1706,789,165,164
4297,1735,1732,790,152,151
4295,1702,1700,791,151,150
4289,1654,1648,792,161,160
4289,1705,1705,793,166,165
4284,1737,1732,794,170,169
4279,1697,1692,794,159,159
4274,1732,1727,794,143,143
4272,1713,1711,794,155,155
4269,1721,1718,793,169,170
4266,1745,1742,792,166,167
4266,1739,1739,792,156,156
4266,1725,1725,792,145,145
4266,1738,1738,792,176,176
4266,1733,1733,791,153,154
4266,1694,1694,791,162,162
4266,1721,1721,791,161,161
4266,1769,1769,789,148,150
4266,1745,1745,789,167,167
4266,1735,1735,788,160,161
4266,1708,1708,788,168,168
4266,1716,1716,788,145,145
4266,1734,1734,788,156,156
4266,1710,1710,788,152,152
4266,1696,1696,788,152,152
4264,1685,1683,789,169,168
4265,1699,1700,787,166,168
4265,1693,1693,787,184,184
4265,1715,1715,787,142,142
4265,1711,1711,787,150,150
4266,1730,1731,788,157,156
4266,1705,1705,788,146,146
4264,1731,1729,789,173,172
4264,1766,1766,789,146,146
4264,1744,1744,789,165,165
4262,1727,1725,789,166,166
4262,1716,1716,789,159,159
4262,1707,1707,788,153,154
4262,1687,1687,788,170,170
4262,1664,1664,787,153,154
4262,1713,1713,788,165,164
4262,1712,1712,787,157,158
4262,1720,1720,787,156,156
4262,1765,1765,787,149,149
4262,1678,1678,787,158,158
4262,1752,1752,787,123,123
4262,1724,1724,786,150,151
4262,1723,1723,787,171,170
4262,1737,1737,785,151,153
4263,1725,1726,785,163,163
4263,1697,1697,785,157,157
4263,1723,1723,785,153,153
4263,1697,1697,785,171,171
4263,1709,1709,785,140,140
4262,1712,1711,785,154,154
4262,1714,1714,786,176,175
4262,1685,1685,786,158,158
4262,1693,1693,787,157,156
4263,1716,1717,788,162,161
4261,1683,1681,787,171,172
4261,1717,1717,787,152,152
4261,1702,1702,787,164,164
4261,1738,1738,789,166,164
4259,1771,1769,790,158,157
4259,1724,1724,788,140,142
4259,1705,1705,784,172,176
4256,1766,1763,784,164,164
4256,1744,1744,782,169,171
4254,1719,1717,781,169,170
4254,1729,1729,780,152,153
4254,1705,1705,780,164,164
4253,1725,1724,780,155,155
4253,1686,1686,778,175,177
